0 4
1 4
2 4
3 4
4 4
5 4
6 4
7 4
8 4
9 4
10 4
11 4
12 4
13 4
14 4
15 4
16 4
17 4
18 4
19 4
300 4
300 6
300 8
300 37
300 1024
300 1500
300 2047
300 2048
300 4095
478 1024
479 1024
480 1024
481 1024
482 1024
483 1024
484 1024
485 1024
486 1024
487 1024
488 1024
489 1024
490 1024
491 1024
492 1024
493 1024
494 1024
495 1024
496 1024
497 1024
498 1024
499 1024
500 1024
500 1025
500 1026
500 1027
500 1028
3092782160 256
3092782161 256
3092782162 256
3092782163 256
3092782164 256
3092782165 256
3092782166 256
3092782167 256
3092782168 256
3092782169 256
3092782170 256
3092782171 256
3092782171 257
3092782171 258
3092782171 363
3092782171 510
3092782171 511
3092782171 512
